avg_pride.total.VI,year,season,avg_terr.km,avg_num.prides,Pop.size,CDV,Rainfall,Zebra,Buffalo,Wildbeest,prideSize
0.423301504,1974,dry,1.369912036,4,30,0,141.7833333,NA,19289,NA,7
0.714590508,1974,wet,12.29200708,7,30,0,141.7833333,NA,19289,NA,7
0.531526016,1975,dry,22.96865323,10,57,0,152.9833333,NA,17725,NA,10
0.294420052,1975,wet,7.587463524,9,57,0,152.9833333,NA,17725,NA,10
0.698778795,1976,dry,15.45061905,10,70,0,196.3583333,NA,NA,NA,9
0.468213016,1976,wet,18.29081307,9,70,0,196.3583333,NA,NA,NA,9
0.552410506,1977,dry,34.45182362,8,46,1,65.51095238,NA,NA,1400000,11
0.517639095,1977,wet,22.10720618,7,46,1,65.51095238,NA,NA,1400000,11
0.315423093,1978,dry,11.98506608,7,65,2,177.2566667,NA,NA,1248947.222,11
0.333541977,1978,wet,45.89908237,9,65,2,177.2566667,NA,NA,1248947,11
0.471777588,1979,dry,12.66156281,10,83,3,43.06666667,202920.6,NA,NA,11
0.518508104,1979,wet,13.40907114,10,83,3,43.06666667,202920.3,NA,NA,11
0.338600428,1980,dry,9.064663674,13,75,4,75.45111111,NA,NA,1337998.077,9
0.380500682,1980,wet,11.2679881,12,75,4,75.45111111,NA,NA,1337998.154,9
0.198283226,1981,dry,18.6136602,8,47,0,43.7,NA,NA,NA,8
0.131850236,1981,wet,2.218475324,4,47,0,43.7,NA,NA,NA,8
0.121424619,1982,dry,6.803335811,8,66,1,45.12,NA,NA,1208711,9
0.188198464,1982,wet,14.07034328,10,66,1,45.12,NA,NA,1208711,9
0.215005024,1983,dry,30.2032364,10,58,2,130.24,NA,NA,NA,8
0.096567536,1983,wet,6.236112319,9,58,2,130.24,NA,NA,NA,8
0.81607826,1984,dry,26.22375078,15,59,3,158.8166667,NA,12357,1337879,8
0.399569117,1984,wet,11.93903892,15,58.93333333,2.933333333,156.9115556,NA,NA,NA,8
0.961394497,1985,dry,25.25272049,17,86,4,104.58,197826.5294,NA,NA,9
1.046139314,1985,wet,63.51558911,17,86,4,104.58,197827.0588,NA,NA,9
0.993112229,1986,dry,28.4038776,20,105,5,104.5166667,NA,14909,1146340,7
0.958543153,1986,wet,29.5684138,19,105,5,104.5166667,NA,14909,1146340,7
0.885307899,1987,dry,21.00913743,19,89,6,50.82,NA,NA,NA,8
1.313259895,1987,wet,35.45207598,18,89,6,50.82,NA,NA,NA,8
0.519256938,1988,dry,28.4991282,12,83,7,162.94,NA,NA,NA,7
1.115467151,1988,wet,57.07753193,15,83,7,162.94,NA,NA,NA,7
0.806607622,1989,dry,34.58991166,13,77,8,133.74,256562,NA,NA,7
0.970383536,1989,wet,56.31892991,16,77,8,133.74,256562,NA,NA,7
0.559741466,1990,dry,57.17441667,14,64,9,88.1,NA,NA,NA,7
0.190160711,1990,wet,14.36190404,12,64,9,88.1,NA,NA,NA,7
0.645425475,1991,dry,22.11613293,13,81,10,120.5,148942,NA,1221783,8
0.553807545,1991,wet,19.74841236,14,81,10,120.5,148942,NA,1221783,8
0.413969313,1992,dry,19.13063153,16,102,11,74.92361111,NA,13741,NA,8
0.748715347,1992,wet,29.37640986,16,102,11,74.92361111,NA,13741,NA,8
0.1915777,1993,dry,12.79824654,14,97,0,19.25714286,NA,NA,NA,8
0.228690511,1993,wet,20.25993244,14,97,0,19.25714286,NA,NA,NA,8
0.504190611,1994,dry,22.30828757,13,94,0,38.15555556,NA,7206,917204,7
0.373449565,1994,wet,21.87106049,13,94,0,38.15555556,NA,7206,917204,7
0.164745028,1995,dry,10.88986457,13,74,1,104.75,NA,NA,NA,7
0.308982458,1995,wet,22.20721006,13,74,1,104.75,NA,NA,NA,7
0.206589348,1996,dry,10.15869375,14,87,2,211.6666667,150834,NA,NA,7
0.229775246,1996,wet,14.24399372,14,87,2,211.6666667,150834,NA,NA,7
0.363755331,1997,dry,14.66012265,14,93,3,69.15,NA,NA,NA,5
0.45823549,1997,wet,27.05247636,15,93,3,69.15,NA,NA,NA,5
0.393681066,1998,dry,21.93990172,14,94,0,80.92857143,NA,7125,NA,7
0.171989465,1998,wet,10.53427147,14,94,0,80.92857143,NA,7125,NA,7
0,1999,dry,NA,0,98,1,29.1125,NA,NA,1296944,7
0.182864321,1999,wet,13.23660445,15,98,1,29.1125,NA,NA,1296944,7
0.788090202,2000,dry,22.25907562,20,112,2,53.7,NA,6710,1245222,7
0.673580968,2000,wet,21.22895873,18,112,2,53.7,NA,6710,1245222,7
1.356165468,2001,dry,47.54378863,18,124,3,182.5,NA,NA,NA,8
1.201868196,2001,wet,39.93369978,18,124,3,182.5,NA,NA,NA,8
0.862159032,2002,dry,20.36990821,20,135,4,57.6,NA,NA,NA,8
1.334381034,2002,wet,45.65763823,22,135,4,57.6,NA,NA,NA,8
0.789194788,2003,dry,20.57439461,25,129,5,83.8,183815,9387,NA,6
1.683620173,2003,wet,30.04861403,25,129,5,83.8,183815,9387,NA,6
1.541650598,2004,dry,31.96176353,24,138,6,127.75,NA,NA,NA,8
1.653111836,2004,wet,37.61301943,24,138,6,127.75,NA,NA,NA,8
1.147631798,2005,dry,30.78107875,22,137,7,91.8,NA,NA,NA,8
1.242523197,2005,wet,34.97091002,22,137,7,91.8,NA,NA,NA,8
1.06032361,2006,dry,27.94677472,23,148,8,54.4,NA,NA,1086754,8
2.085144613,2006,wet,69.1716836,24,148,8,54.4,NA,NA,1086754,8
0.542340061,2007,dry,12.0996202,23,131,0,35.25,NA,NA,NA,7
1.265170313,2007,wet,45.56555435,23,131,0,35.25,NA,NA,NA,7
1.219824017,2008,dry,40.33893486,26,134,1,253.5,NA,11771,NA,7
1.189972183,2008,wet,27.82846737,26,134,1,253.5,NA,11771,NA,7
0.677920594,2009,dry,13.26887279,23,146,2,NA,NA,NA,1272233,8
1.358485102,2009,wet,40.76175378,22,146,2,NA,NA,NA,1272233,8
0.889656839,2010,dry,31.46734607,21,127,3,NA,207166,NA,NA,7
1.276368494,2010,wet,198.997533,22,127,3,NA,207166,NA,NA,7
0.525600581,2011,dry,13.55426689,20,130,4,NA,NA,NA,NA,8
1.081201067,2011,wet,26.59975722,23,130,4,NA,NA,NA,NA,8
1.033768307,2012,dry,56.18439677,22,110,5,NA,NA,NA,1361548,8
1.137047204,2012,wet,48.9700479,22,110,5,NA,NA,NA,1361548,8
0.871413087,2013,dry,33.45287262,24,132,6,NA,NA,NA,NA,7
0.816481847,2013,wet,23.75999394,22,132,6,NA,NA,NA,NA,7
